57: 56 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
81: 56 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
12: 57 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
70: 57 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
16: 59 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
25: 59 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
0: 60 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
1: 60 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
8: 61 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
3: 66 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
========================

57.7: 58 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
1.2: 58 - DMG:1 - Health:11 - Initiative:1 - Weights:|5:5|
81.2: 59 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
57.0: 60 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
12.5: 60 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:5|
57.8: 63 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:4|
25.8: 65 - DMG:1 - Health:10 - Initiative:1 - Weights:|5:4|
70.2: 70 - DMG:1 - Health:11 - Initiative:1 - Weights:|5:5|
8.1: 81 - DMG:1 - Health:13 - Initiative:1 - Weights:|5:5|
70.6: 96 - DMG:2 - Health:10 - Initiative:1 - Weights:|5:5|
========================

70.6.5: 86 - DMG:2 - Health:10 - Initiative:1 - Weights:|5:5|
70.6.9: 86 - DMG:2 - Health:10 - Initiative:1 - Weights:|5:5|
70.6.7: 87 - DMG:2 - Health:10 - Initiative:1 - Weights:|5:5|
25.8.1: 89 - DMG:2 - Health:10 - Initiative:1 - Weights:|5:4|
70.6.1: 89 - DMG:2 - Health:10 - Initiative:1 - Weights:|5:5|
70.6.8: 89 - DMG:2 - Health:10 - Initiative:1 - Weights:|5:5|
1.2.4: 90 - DMG:2 - Health:11 - Initiative:1 - Weights:|5:5|
57.0.0: 90 - DMG:2 - Health:10 - Initiative:1 - Weights:|5:5|
57.0.1: 90 - DMG:2 - Health:10 - Initiative:1 - Weights:|5:5|
70.6.3: 91 - DMG:2 - Health:10 - Initiative:1 - Weights:|5:5|
========================

25.8.1.8: 66 - DMG:2 - Health:10 - Initiative:1 - Weights:|5:4|
1.2.4.3: 66 - DMG:2 - Health:11 - Initiative:1 - Weights:|5:5|
57.0.0.5: 67 - DMG:3 - Health:10 - Initiative:1 - Weights:|5:5|
70.6.7.1: 69 - DMG:3 - Health:10 - Initiative:1 - Weights:|5:5|
1.2.4.8: 69 - DMG:2 - Health:11 - Initiative:1 - Weights:|5:5|
1.2.4.0: 71 - DMG:2 - Health:11 - Initiative:1 - Weights:|5:5|
1.2.4.9: 71 - DMG:2 - Health:11 - Initiative:1 - Weights:|5:4|
70.6.1.1: 73 - DMG:3 - Health:10 - Initiative:1 - Weights:|5:5|
1.2.4.5: 78 - DMG:2 - Health:11 - Initiative:1 - Weights:|7:5|
70.6.3.4: 78 - DMG:2 - Health:13 - Initiative:1 - Weights:|5:5|
========================

57.0.0.5.2: 65 - DMG:3 - Health:10 - Initiative:1 - Weights:|5:5|
57.0.0.5.6: 65 - DMG:3 - Health:10 - Initiative:1 - Weights:|5:5|
25.8.1.8.1: 67 - DMG:3 - Health:10 - Initiative:1 - Weights:|5:4|
